"uid"	"cat"	"name"	"screen_name"	"description"	"verified"	"location"	"lat"	"lon"	"country"	"countryID"	"created_at"	"followers_count"	"friends_count"	"statuses_count"	"favourites_count"	"listed_count"
4542922882	0.0	"Ronald ragen 2016"	"tedcruz_4USA"	""	False	""	""	""	""	""	"2015-12"	23.0	37.0	728.0	6.0	1.0
905717526	0.0	"Backroom Politics"	"BackroomPolitic"	"Backroom Politics is a weekly radio show hosted every Tuesday from 4-6 ET from downtown Washington, DC  http://t.co/7ji2TDGTEh…"	False	"Washington, DC"	38.89511	-77.03637	"United States"	"6252001"	"2012-10"	375.0	1284.0	2953.0	20.0	12.0
15896985	0.0	"Stonewall Democrats"	"StonewallDallas"	"LGBT Democrats in Dallas, Texas defending change and promoting equality at every level of government."	False	"Dallas, Texas"	32.78306	-96.80667	"United States"	"6252001"	"2008-08"	437.0	25.0	158.0	0.0	20.0
557334459	0.0	"ShitTheGOPsays"	"Sh1tTheGOPsays"	"Shedding light on how the modern Republican party took a right turn down Crazy Lane.

Warning some vulgar language used."	False	"The United States of the 1%"	40.71291	-74.01327	"United States"	"6252001"	"2012-04"	13270.0	9230.0	8830.0	503.0	288.0
317934789	0.0	"ConservativeFilmFest"	"ConservativeFF"	"2013 1st EVER National Conservative Film Festival is Columbus Day Weekend @WaltDisneyWorld, Orlando FL HashTag #NCFF"	False	"Orlando Florida"	28.53834	-81.37924	"United States"	"6252001"	"2011-06"	596.0	1985.0	251.0	3.0	20.0
498606133	1.0	"Gladys"	"summerbreeze_G"	"UNT Engineering. Latina. Immigrant rights. Bernie Sanders. Anjunabeats. LGBTQ #FeelTheBern #AnjunaFamily #UNT"	False	"Dallas, TX"	32.78306	-96.80667	"United States"	"6252001"	"2012-02"	2169.0	448.0	43752.0	22598.0	29.0
1066130576	1.0	"juan"	"juanmazuera_"	"an optimistic colombian coffee addict #bernie2016"	False	"Bomont"	30.08605	-94.10185	"United States"	"6252001"	"2013-01"	715.0	394.0	10201.0	8030.0	6.0
49715720	1.0	"Mujerista"	"Miami_Chica"	"#Latina #Feminist. #Prochoice.#AnimalLover. #Bernie2016"	False	"Sunshine State ☀"	-26.56098	152.85113	"Australia"	"2077456"	"2009-06"	2701.0	938.0	125606.0	1111.0	132.0
152887445	0.0	"Dan Beebe"	"DanBeebe"	"That guy's funny. - Dan Beebe / “hilarious … honest.” - Dan Beebe / I liked the Santa hat one. - Dan Beebe"	False	""	""	""	""	""	"2010-06"	23440.0	78.0	7906.0	26.0	617.0
162130269	0.0	"Deborah Clark"	"VotePinellas"	"Supervisor of Elections,
Pinellas County, Florida"	False	"Largo, FL"	27.90979	-82.78842	"United States"	"6252001"	"2010-07"	586.0	229.0	704.0	60.0	40.0
172882920	0.0	"Hillary Clinton"	"markhillaryyvd"	"Secretary of State"	False	"USA, Texas"	31.25044	-99.25061	"United States"	"6252001"	"2010-07"	4.0	318.0	29.0	3.0	0.0
18027868	0.0	"MollyS #CruzCrew"	"mollymsquires"	"Wife, mom, lover of all things vintage, interior design addict, political junkie and proud right wing nut!"	False	"Georgia, USA"	32.75042	-83.50018	"United States"	"6252001"	"2008-12"	321.0	584.0	1126.0	3785.0	11.0
113635077	0.0	"William Hill"	"sharpeangle"	"Graham Sharpe, Media Relations Director, William Hill; Luton Town/Wealdstone supporter.
Followers 18+. Gamble responsibly http://t.co/1g5DxA70Zc"	False	"London"	51.50853	-0.12574	"United Kingdom"	"2635167"	"2010-02"	8772.0	2860.0	23702.0	17.0	162.0
635904401	1.0	"UNL Young Democrats"	"unlyd"	"Are you a liberal in this red state? If so, then come meet up with other Nebraska Democrats! Every Tuesday at 5PM in the Union! You aren't alone!"	False	"Lincoln, NE"	40.8	-96.66696	"United States"	"6252001"	"2012-07"	369.0	94.0	989.0	41.0	11.0
14203536	1.0	"PSYFE"	"psyfe"	"Cartoon fox concerned about Odumbo core."	False	"SF"	14.8961	-24.49556	"Cape Verde"	"3374766"	"2008-03"	581.0	310.0	52349.0	13810.0	39.0
